question,q_len_chars,q_len_words,q_wh_type
"Won by a Scotsman this year, how many laps does it take to complete the Indianapolis 500?",89,17,quantity
"Published today in 1949, which George Orwell novel features Winston Smith and Big Brother?",90,14,which
How many teams compete in the World Cup?,40,8,quantity
After how many years does Halley's comet appear?,48,8,age
How many troy ounces are in a troy pound?,41,9,quantity
July 12th marks the anniversary of the first ever concert of the moderately famous band known as The Rolling Stones. In what year did this concert take place?,158,28,year
"Including such tasks as slaying the Nemean lion, cleaning the Augean stables in a single day, and obtaining the Girdle of the Amazon Queen, how many labors was Hercules supposed to perform?",189,32,quantity
"If a team at contract bridge wins a grand slam, how many tricks have they won?",78,16,quantity
How many cups are in a gallon?,30,7,quantity
"A widely debated topic in the halls of government these days, what is the current debt US ceiling, to the closest trillion dollars?",131,23,what
"Tomorrow marks the birthday of our Commander in Chief, Barack Obama. How old will he be?",88,16,age
"The Seattle Seahawks opened training camp on Saturday, starting a new season. In what year did they play their first ever game (a 27-20 preseason loss to San Francisco)?",169,29,year
"Today is the birthday of our Dear Leader, Barak Obama. How old is he?",69,14,age
"Public Law 62-5, which was passed on August 8, 1911 set the membership of the House of Representatives to what number?",118,21,which
August 9th is the anniversary of the resignation of one Richard Milhous Nixon from the office of the President of the United States of America. In what year did this happen?,173,31,year
You dial 911 for emergency services and 411 for information (now taken over by 555-1212). What is the FCC mandated call before you dig number?,142,25,what
August 9th marks the anniversary of the resignation of Richard M. Nixon as US President. In what year did it happen?,116,21,year
How many days in a fortnight?,29,6,quantity
The US led all countries in the top two medal categories at this years Olympics. How many gold medals did they earn?,116,22,quantity
"During what war did Francis Scott Key write ""The Star-Spangled Banner,"" which became the national anthem?",105,16,which
"Name the year: NAFTA is ratified, Nancy Kerrigan gets clubbed, Kurt Cobain eats his shotgun, OJ Simpson offs his ex wife and her friend.",136,24,other
Talc is the softest mineral listed on the Mohs scale of hardness. It is given a value of 1. Diamond is the hardest. What number is it given?,140,28,what
"August 21st was the anniversary of Hawaii joining the union, the last state to do so, in what year?",99,19,year
September 17 of what year saw the Constitutional Convention adopt the US Constitution?,86,13,year
How many squares are there on a US bingo card?,46,10,quantity
"The Emmy awards, as hosted by Neil Patrick Harris, aired on Sunday. In what year was the award first given?",107,20,year
"Called the Queen of the Skies, the first of what widebody airliner rolled out of the Everett assembly plant on September 30, 1968?",130,23,what
"The first production Model T rolled off the assembly line on Sept 27, the first of over 15 million to be produced. In what year was it?",135,27,year
"Sept 30, 1966 saw the public unveiling of which popular model of Boeing aircraft?",81,14,which
"At the start of a game of checkers, each player starts with how many pieces?",76,15,quantity
How many players does each team have on the field in a Canadian Football League game?,85,16,quantity
What is the minimum age required to become a member of the U.S. House of Representatives?,89,16,what
The Seattle Mariners managed to win more games than they lost this year. How many games did they actually win?,110,20,quantity
"In what year was the first Nobel Peace Prize actually awarded, ostensibly to someone who earned it?",99,17,year
How old must you be to serve on a jury in the city of Seattle?,62,15,age
"According to KFC, Colonel Sanders' original recipe contained how many herbs and spices?",87,13,quantity
Sunday marks the anniversary of the introduction of the game-changing IPod. In what year was it introduced?,107,17,year
Oct 23 is the anniversary of the release of the first iPod from Apple. What year was it?,88,18,year
"November is unofficially National Novel Writing Month, when people are encouraged to write a story of at least how many words?",126,21,quantity
"Name the year: Falkland War begins with the Argentinean invasion; EPCOT opens at Disneyworld, The first Double Stuff Oreo is sold; Honda opens the first Japanese auto plant in the US; Michael Jackson releases Thriller;",218,35,other
The 11th hour of the 11th day of the 11th month saw the signing of the armistice that put an end to the violence of WWI in what year?,133,29,year
"Born on November 10, 1919, Mikhail Kalashnikov saw his most famous creation, the AK-47, introduced into service in what year?",125,20,year
Name the year: Shah Mohammed Reza Pahlavi of Iran is booted; the Hood Canal bridge sinks; Jimmy Carter is attacked by the infamous Swamp Rabbit; The Sonics won their only championship; Iran takes 53 members of the US Embassy hostage for 444 days; Star Trek: The Motion Picture is released,288,50,other
How many herbs and spices make up the Colonels secret recipe?,61,11,quantity
"Representing the date of admission to the Union, what is the number on the flag of the great State of Washington?",113,21,what
How old was Michael Jackson when he died?,41,8,age
Name the year: Pixar Animation opens it's doors; Space Shuttle Challenger disintegrates 73 seconds after launch; Geraldo Rivera opens Al Capone's secret vault on TV; The Statue of Liberty is reopened; Fox Broadcasting is born;,226,35,other
Name the year: The Euro becomes official currency; Mandalay Bay opens in Vegas; Columbine; SpongeBob SquarePants debuts; Lance Armstrong wins his first Tour de France; WTO riots paralyze Seattle;,195,29,area
Yesterday saw the maiden flight of the new Boeing Dreamliner. What model number is it given?,92,16,what
When did the founder of Jehovah's Witnesses say the world would end?,68,12,year
In what year were US ground troops first dispatched to Vietnam?,63,11,year
In which year was CNN founded?,30,6,which
In which year was Bloody Sunday in Londonderry?,47,8,which
In the 90s how many points have been awarded for finishing first in a Grand Prix?,81,16,quantity
In which year did Alcock and Brown make their Atlantic crossing?,64,11,which
How old would Rocky Marciano have been had he lived to the end of the 20th century?,83,17,age
How old would James Dean have been had he lived to the end of the 20th century?,79,17,age
In what year were women first admitted to Harvard?,50,9,year
How old was Ronald Reagan when he became US President?,54,10,age
When was the Scrabble World championship first held?,52,8,year
What year was the centenary of Arkansas joining the Union?,58,10,year
In which year was the talkie The Jazz Singer released?,54,10,which
When she died how old was Karen Carpenter?,42,8,age
In what year was Oliver Stone born?,35,7,year
In which year was Nigel Mansell Indy Car Champion?,50,9,which
Which year was the first after 1927 that the USA lost the Ryder Cup on home soil?,81,17,which
In what year was the first performance of Copland's ballet Rodeo?,65,11,year
How many 'victories' did The Red Baron claim in aerial dogfights?,65,11,quantity
In what year did Saddam Hussein become President of Iraq?,57,10,year
How old was George Gershwin when he died?,41,8,age
According to the series when was the Cheers bar founded?,56,10,when
In which year did Tanganyika and Zanzibar merge to form Tanzania?,65,11,which
When did field hockey become an Olympic event for men?,54,10,year
In which year did Count Basie die?,34,7,which
In which year was the University of Alaska Anchorage founded?,61,10,which
In what year of the 1990s was baseball's World Series canceled?,63,11,year
How old was Laurel and Hardy producer Hal Roach when he died in 1992?,69,14,age
Which Apollo mission was filmed in 1995 with Tom Hanks?,55,10,which
In what year does Demolition Man take place?,44,8,year
How many different hats does Madonna wear in Evita?,51,9,quantity
In what year was the Kellogg Company set up to manufacture cornflakes?,70,12,year
In what year did regular Boeing 707 flights begin across he Atlantic?,69,12,year
In what year did the New York subway open?,42,9,year
How many prisoners were left in Alcatraz just before it closed?,63,11,quantity
Gunn-toting Wyatt Earp survived to what age?,44,7,what
How many 'points for peace' did President Wilson announce in 1918?,66,11,quantity
How many races did Ed Moses win in succession between '77 and '87?,66,13,quantity
In what year was indoor handball introduced as an Olympic event for men?,72,13,year
What year was the centenary of Colorado joining the Union?,58,10,year
"To the nearest million, how mjch did Heavan's Gate lose for United Artists?",75,13,other
How old was Douglas Fairbanks when he married 23-year-old Joan Crawford?,72,11,age
How old was Orson Welles when he made Citizen Kane?,51,10,age
"When did Euro Disney, now Disneyland Paris, open?",49,8,year
How many years did the Holocaust last?,38,7,age
How many Gilbert & Sullivan operas are there?,45,8,quantity
In which year did Britain's lease on Hong Kong officially expire?,65,11,which
In which year were East and West Germany unified?,49,9,which
What year saw the nationalization of British Railways?,54,8,year
In which year did the Japanese attack Pearl Harbor?,51,9,which
In which year did the Korean War break out?,43,9,which
"In which year was Ulster incorporated into the UK, under the Home Rule Act?",75,14,which
In what year did the Representation of the People Act give the vote to all women over 21?,89,18,year
In which year did Mikhail Gorbachev resign as Soviet president?,63,10,which
How many countries are there in the British Commonwealth?,57,9,quantity
When was the first Pioneer space probe launched?,48,8,year
How many counters does each player have at the start of a game of backgammon?,77,15,quantity
"How many centimetres make up a hand, the measurement used on horses?",68,12,quantity
In what year did Percy L. Spencer invent the microwave?,55,10,year
When was the nobel prize for literature first awarded?,54,9,year
In what year was highwayman Dick Turpin hanged?,47,8,year
Chemically pure gold contains how many carats?,46,7,quantity
What is the boiling point of water in degrees Fahrenheit?,57,10,what
In what year was Albert Einstein born?,38,7,year
How many housing property squares are there on a Monopoly board?,64,11,quantity
"On a football pitch, how many yards should the penalty spot be from the goal line?",82,16,quantity
In what year was the first World Cup held?,42,9,year
What was the number on the back of the jersey that both Maradona and Pele said was lucky?,89,18,what
In what year was the first penalty scored in an FA Cup final?,61,13,year
The Beatles' last live performance was at Candlestick Park in San Francisco. In what year was this?,99,17,year
"When women first got the vote in Britain in 1918, how old did they have to be?",78,17,age
For how many years did Louis XIV of France reign?,49,10,age
How many players in total get down in a normal rugby union scrum?,65,13,quantity
In what year was the first World Snooker Championship held?,59,10,year
In what year did Agatha Christie die?,37,7,year
In which year was British Prime Minister Spencer Perceval assasinated?,70,10,which
In what year did Sir Frederick Banting and J. J. R. MacLeod discover insulin?,77,14,year
How many yards are in a furlong?,32,7,quantity
What is the atomic number of the element Californium?,53,9,what
In which year was the film studio Paramount opened?,51,9,which
What 1948 novel was originally going to be called The Last Man in Europe?,73,14,what
How many black keys are there on the a standard piano?,54,11,quantity
In what year was the first Christmas card produced?,51,9,year
How many pieces does each player have in backgammon?,52,9,quantity
In what year did the Japanese bomb Pearl Harbour?,49,9,year
How many times has Bob Hope hosted the Oscars ceremony?,55,10,quantity
How many UK top 40 hits did Prince have in the 1980s?,53,12,quantity
In what year did Bugs Bunny make his debut?,43,9,year
How many own goals were scored in the 2001/02 Premiership season?,65,11,quantity
In what year was Mary Poppins written?,38,7,year
How many hurdles must a runner jump over in the 110m men's hurdles race?,72,14,quantity
What is Sir Donald Bradman's test cricket batting average?,58,9,what
"According to the Highway Code, passengers of what age and above are responsible for themselves wearing a seatbelt?",114,18,what
In which year did Czechoslovakia become the first country to make seat belts compulsory?,88,14,which
In which year did California become one of the United States of America?,72,13,which
"In degrees centigrade, what is the normal body temperature?",59,9,what
How many bones are there in a normal human hand?,48,10,quantity
How many points would the word Scrabble score in the game of Scrabble?,70,13,quantity
In which year was actor Sean Connery born?,42,8,which
In which year did Superman appear in comics for the first time?,63,12,which
"On a darts board, which number is directly opposite 1?",54,10,which
"In centimetres, how high is a table tennis table?",49,9,other
In which year was Wuthering Heights by Emily Bronte first published?,68,11,which
How many points would you get for the word Scrabble in a game of Scrabble?,74,15,quantity
In which year did Karl Marx publish the first volume of Das Kapital?,68,13,which
In what year did the first Rugby World Cup take place?,54,11,year
"In which year did Emmerdale Farm become Emmerdale? 1989, 1992 or 1995?",70,12,which
In which year did J. R. R. Tolkein die?,39,9,which
In what year were the first modern Olympic Games held?,54,10,year
In what year did Steve Redgrave win his first gold medal at the Olympics?,73,14,year
"Considered as the oldest zoo in the world, in what year did the Vienna Zoo first open to visitors?",98,19,year
In which year was the microscope invented?,42,7,which
"How many barrels of gunpowder were discovered in the cellars of Westminster Hall as part of Guy Fawkes' gunpowder plot? 36, 96 or 266?",134,24,quantity
In what year did the Gunpowder Plot take place?,47,9,year
In which year was the penalty kick first introduced into the game of football?,78,14,which
"In Channel 4's 1999 poll to find the 100 Greatest Movie Stars, in what position was Michael Caine?",98,18,what
How many calories are in a pint of Guinness?,44,9,quantity
"As at April 2004, how many different Prime Ministers has the Queen given audience to?",85,15,quantity
"At the time of her golden jubilee, how many ships had the Queen launched?",73,14,quantity
In what year was the Mixed Doubles first contested in Wimbledon?,64,11,year
What was the attendance at the 2003 Rugby World Cup final when England beat Australia?,86,15,when
In what year was the Big Mac introduced into McDonalds?,55,10,year
How many minutes does it take the Hubble Space Telescope to complete one orbit around the earth?,96,17,quantity
"After the 2005 Eurovision Song Contest, how many times had the United Kingdom finished second?",94,15,quantity
In which year was the word homosexual first used?,49,9,which
In which year were 3 points for a win first introduced to the group stages of the World Cup finals?,99,20,which
"How many pairs of ribs does a human have? 8, 10 or 12?",54,13,quantity
How many golden stars appear in the circle on the blue background of the flag of the European Union?,100,19,quantity
How many times has the flag known as the stars and stripes been changed since it was first adopted by 13 American states?,121,23,quantity
"The first set of rules for the sport of Boxing, the London Prize Ring rules, were introduced in which year?",107,20,which
"Miss Saigon premiered in Drury Lane, London in 1989, but how many performances were put on there before it closed?",114,20,quantity
"How old is the prostitute, played by Jodie Foster in Taxi Driver, supposed to be?",81,15,age
"BBC 2 started its programming on 20 April, in which year? 1954, 1959 or 1964?",77,15,which
In what year was the first Six Nations Championship played?,59,10,year
In what year did the first Red Nose Day take place?,51,11,year
"How many of Muhammad Ali's 61 professional boxing fights did he win? 50, 56 or 60?",82,16,quantity
How many symphonies did Mozart compose?,39,6,quantity
"In music, the B-52s were formed in which year? 1976, 1980 or 1984?",66,13,which
Guy Fawkes Night on November 5th celebrates the discovery of the plot to blow up the Houses of Parliament?  In what year did this take place?,141,26,year
How many pairs of chromosomes are there in the human body?,58,11,quantity
In which year was the film Casablanca premiered?,48,8,which
How many ounces are there in a pound?,37,8,quantity
How many yards are there in a mile?,35,8,quantity
How many yards are there in a chain?,36,8,quantity
How many sheets of paper are there in a quire?,46,10,quantity
How many sheets of paper are there in one ream?,47,10,quantity
In what year was the winter Olympics held for the first time so as not to coincide with the summer Olympics?,108,21,year
What is the total number of grass courts at Wimbledon?,54,10,what
In which year was the German battleship The Bismarck sunk by the Royal Navy?,76,14,which
"In which year was the Six Day War fought between Israel, Egypt, Syria and Jordan.",81,15,which
How many episodes of Fawlty Towers were made?.,46,8,quantity
How many white squares are there on a chess board?,50,10,quantity
In which year did The Beatles officially split?,47,8,which
How many pieces of paper make up a Quire.,41,9,quantity
How many Quires make up a Ream,30,7,quantity
How many is there in a bakers dozen?,36,8,quantity
In which year did a terrorist group kill eleven hostages at the Olympic Games?,78,14,which
What RAF squardron number was nicknamed The Dambusters?,55,8,what
In which year was The Highway Code first published.,51,9,which
How many points of the compass are there?,41,8,quantity
The satirical comedy Airplane! was released in what year?,57,9,year
"The first coin-operated parking meter in the US was installed in Oklahoma City, Oklahoma. In what year was it installed?",120,20,year
How many pints are in a Firkin?,31,7,quantity
What year did prohibition start in the USA?,43,8,year
How many avenues radiate from the Arc De Triomphe in Paris?,59,11,quantity
How many British troops were killed on the first day of the Battle of the Somme on 1 July 1916?,95,20,quantity
In which year was John Lennon assassinated?,43,7,which
In what year was George Washington inaugurated as the first president of the United States?,91,15,year
In which year (+/- 2 years) was the original Disneyland resort to open to the general public?,93,17,which
"How many centimetres are there in a 'Hand', the measurement used on horses?",75,13,quantity
"Faulty Towers ran for a total of four years, but how many episodes were produced and released?",94,17,quantity
What is the significant total reached when all the numbers on a roulette wheel are added together?,98,17,when
In which year was singer Elvis Presley born?,44,8,which
The sixpenny coin ceased to be legal tender in Britain during which year?,73,13,which
"In the novel by Daniel Defoe, for how many years was Robinson Crusoe shipwrecked?",81,14,age
"In British currency, how many pre-decimal pennies were in a pound?",66,11,quantity
How many goals did footballer Gary Lineker score for England?,61,10,quantity
In which year was the first London to Brighton veteran car run in the UK?,73,15,which
How many drivers are awarded points at the end of a Formula One Grand Prix race?,80,16,quantity
"In which year was the Henry Wood Promenade Concerts, otherwise known as The Proms, founded?",91,15,which
How many imperial gallons of oil are in a barrel?,49,10,quantity
In which year was the death penalty for treason formally abolished on the mainland UK?,86,15,which
Which prime number is between 11 and 17?,40,8,which
How many goals were scored in the 2006 FIFA World Cup?,54,11,quantity
"In which year was the Battle of Bannockburn, between Scotland and England?",74,12,which
In which year were women allowed to compete in athletics events for the first time in the Olympic Games?,104,19,which
"In the UK, in which year did the Life Peerage Act entitled women to sit in the House of Lords for the first time?",113,24,which
How many letters are in the Welsh alphabet?,43,8,quantity
In which year was the Ford Anglia car first produced in the UK?,63,13,which
In which year was the Battle of Britain?,40,8,which
"How many counters, or pieces, does each player start with in a game of backgammon?",82,15,quantity
"In which year was the Factory Act passed in Britain, to improve conditions for children working in factories?",109,18,which
How many commandments does the Jewish Torah contain?,52,8,quantity
What is the square root of 196?,31,7,area
In which year did Patrick Moore present the first episode of ‘The Sky At Night’ on television?,94,17,which
In which year were the Academy Awards first broadcast on television?,68,11,which
How many books make up the New Testament of the Bible?,54,11,quantity
In which year did Queen Elizabeth II first visit Australia as a reigning monarch?,81,14,which
Amnesty International was founded in which year?,48,7,which
How many lines are in an English sonnet?,40,8,quantity
In which year was the Japanese attack on Pearl Harbour in the USA?,66,13,which
Triskaidekaphobia is the irrational fear of which number?,57,8,which
In which year was Alaska admitted as the 49th US state?,55,11,which
In which year did play first take place on the middle Sunday at Wimbledon?,74,14,which
In which year did food rationing begin in Britain?,50,9,which
"During which year was Mary, Queen of Scots, executed?",53,9,which
"Disney’s Magic Kingdom, near Orlando, Florida, opened in which year?",68,10,which
In which year did British monarch Queen Elizabeth II first pay Income Tax?,74,13,which
"Janis Joplin, Jimi Hendrix and Kurt Cobain all died at what age?",64,12,what
How many metres are in a nautical mile?,39,8,quantity
"What is the sum, in degrees, of the angles in a triangle?",57,12,what
How many cards are dealt to each player in a game of contract rummy?,68,14,quantity
What is the title of the 1985 single by British musician Paul Hardcastle which has a strong anti-war message?,109,19,which
The Greek national anthem has a total of how many verses (or stanzas)?,70,13,quantity
In which year were women first allowed to participate in the Olympic Games?,75,13,which
In which year was the Sydney Harbour Bridge officially opened?,62,10,which
In which year was the Oxford-Cambridge Boat Race declared a draw because it was said that the judge was asleep under a bush as the crews passed the finish line?,160,30,which
‘The Thought Police’ feature in which 1949 novel?,49,8,which
How many medals did Germany win in the 2002 Winter Olympic Games?,65,12,quantity
Which year does Michael J Fox travel back to in the 1985 film ‘Back to the Future’?,83,17,which
How many days are in a Leap Year?,33,8,quantity
English actor Joss Ackland was born on 29th February in which year?,67,12,which
On January 1st of which year did Spain stop using the peseta as its national currency?,86,16,which
"In 1930, Australian cricketer Don Bradman scored a world record how many runs in 415 minutes at Sydney Cricket Ground?",118,20,quantity
"In a rugby union team, what number does the fly half wear on their shirt?",73,15,what
What is the square root of 225?,31,7,area
"The Yom Kippur War, or October War, took place during which year?",65,12,which
"How many circles, on which players have to put their hand or foot, are on the mat in a game of ‘Twister’?",105,22,quantity
How many wooden blocks are in a traditional game of ‘Jenga’?,60,11,quantity
How many edges does a cube have?,32,7,quantity
Brazil is made up of how many states?,37,8,quantity
In which year did Oliver Cromwell become Lord Protector?,56,9,which
In which year was women’s football officially introduced into the Summer Olympics?,82,12,which
"How many pins are on a SCART connector, used to connect video equipment?",72,13,quantity
The diameter of a standard CD measures how many centimetres?,60,10,quantity
What do the interior angles of an octagon add up to in degrees?,63,13,what
In the nursery rhyme ‘Sing a Song of Sixpence’ how many blackbirds were baked in a pie?,87,17,quantity
How many ‘Books’ make up the Old Testament of the Bible?,56,11,quantity
‘Duck and dive’ represents which number in the game of Bingo?,61,11,which
"In poetry, a sonnet consists of how many lines?",47,9,quantity
"In the UK, during which year were women first allowed to vote in a General Election?",84,16,which
What is the highest number on a Euromillions lottery ticket?,60,10,what
The term ‘Googol’ is written in number form as number 1 followed by how many zeros?,83,16,quantity
The laws of cricket state that the length of a cricket bat must be no more than how many inches?,96,20,quantity
"In days, what is the average gestation period of a lioness?",59,11,what
How many years make up a vicennial period?,42,8,age
During which year did the pre-decimal halfpenny coin cease to be legal tender in the UK?,88,16,which
How many players are on the field in a rugby union team?,56,12,quantity
How many properties are on a standard Monopoly board?,53,9,quantity
How many holes are on a classic cribbage board?,47,9,quantity
The European country of Switzerland is made up of how many cantons?,67,12,quantity
"Not including Sundays, how many days are there in Lent?",55,10,quantity
A pentadecagon has how many sides?,34,6,quantity
How many players in one team are on the field in a game of shinty?,66,15,quantity
In the UK television game show ‘Deal or No Deal’ what is the lowest amount of money shown in the red box in pounds sterling?,124,25,what
How many ounces in an Imperial pound?,37,7,quantity
How many steeplechase fences are on the Aintree Grand National race course?,75,12,quantity
What is the all-seated capacity of Wembley Stadium in London?,61,10,what
A tridecagon has how many sides?,32,6,quantity
How many fluid ounces in one Imperial pint?,43,8,quantity
"In which year was Marie Antoinette, queen of France, executed?",62,10,which
What does each angle of a regular octagon measure in degrees?,61,11,what
How many chains are in a furlong?,33,7,quantity
During which year did BBC2 start broadcasting in the UK?,56,10,which
An octadecagon has how many sides?,34,6,quantity
What do all the numbers on a standard roulette wheel add up to?,63,13,what
How many Triple Letter squares are on a standard Scrabble board?,64,11,quantity
"How many sheets of paper, of the same size and quality, is in a metric quire?",77,16,quantity
In which year was cigarette advertising banned on British television?,69,10,which
In which year did Barbados join The Commonwealth?,49,8,which
How many Concorde planes were built?,36,6,quantity
How many teeth does an adult cat normally have?,47,9,quantity
In which year did English monarch Elizabeth I die?,50,9,which
The eagle on the Great Seal of the US has how many arrows in its left talon?,76,17,quantity
What does each angle of a regular pentagon measure in degrees?,62,11,what
How many lines make up the London Underground Railway system?,61,10,quantity
How many sheets of identical paper are in a ream?,49,10,quantity
How many fluid ounces in half an Imperial pint?,47,9,quantity
Roman Numerals CD represent which number?,41,6,which
During which year was the inaugural tournament of the FIFA World Cup?,69,12,which
In which year did British author Charles Dickens die?,53,9,which
In which year was England footballer David Beckham awarded an OBE?,66,11,which
In which year was former British Prime Minister Margaret Thatcher born?,71,11,which
How many avenues start from the circle of the Arc de Triomphe in Paris?,71,14,quantity
How many states make up Germany?,32,6,quantity
In which year was the ‘Storming of the Bastille’ in Paris?,58,11,which
During which year did the UK television series ‘Emmerdale Farm’ change its title to ‘Emmerdale’?,96,15,which
How many houses are there in a game of Monopoly?,48,10,quantity
How many players in a team are on the field at one time in a game of shinty?,76,18,quantity
In which year in the 21st Century did the US senate pass a resolution apologising for slavery?,94,17,which
How many double letter squares are on a standard Scrabble board?,64,11,quantity
Which number shirt does footballer Wayne Rooney wear for Manchester United?,75,11,which
How many hurdles are in a 100 metre women’s hurdle race?,56,11,quantity
"How many gold rings, altogether, did ‘My True Love give to me’ over the Twelve Days of Christmas?",97,18,quantity
‘Stairway to Heaven’ represents which Bingo number?,51,7,which
How many squares are on a chess board?,38,8,quantity
In the novel ‘Jane Eyre’ by Charlotte Bronte in which year was Jane born?,73,14,which
In which year did King Richard III of England die?,50,10,which
In which year was the maximum speed limit of 70 mph introduced in the UK?,73,15,which
How many tiles are there in a standard game of Scrabble?,56,11,quantity
A Silver Jubilee is the anniversary of how many years of a significant event?,77,14,age
"British monarchs George V, Edward VIII and George VI all reigned during which year?",83,14,which
During which year did British sovereignty of Hong Kong end?,59,10,which
What is the boiling point of water in degrees Farenheit?,56,10,what
‘The Best Young Player Award’ was introduced at the FIFA World Cup in which year?,81,15,which
How many letters are in the Hebrew alphabet?,44,8,quantity
In which year was the first FA Cup Final played?,48,10,which
How many nights are in the novel ‘Arabian Nights’?,50,9,quantity
In which year did Prince Andrew marry Sarah Ferguson?,53,9,which
In which year was the Bank of England entirely nationalised?,60,10,which
How many ribs does a human have?,32,7,quantity
"Which year saw the first ‘space tourist’ Dennis Tito, who paid a reported 20 million dollars to board the International Space Station?",134,22,who
In which year was the Oxford English Dictionary first published in ten volumes?,79,13,which
How many stations are on the London Underground Central Line?,61,10,quantity
What number of points come after 15 in a game of tennis?,56,12,what
What is the highest prime number between 1 and 100?,51,10,what
In which year did singer Elvis Presley marry Priscilla Beaulieu?,64,10,which
In which year did Japan join the United Nations?,48,9,which
In which year did the first car-carrying hovercraft cross the English Channel?,78,12,which
"In the board game Monopoly, what is the highest denomination banknote in ‘pounds’ sterling?",91,14,what
In which year was Scotland united with England by the Acts of Union?,68,13,which
In which year was the Berlin International Film Festival first held?,68,11,which
In which year did British monarch Queen Victoria celebrate her Diamond Jubilee?,79,12,which
How many spaces does a standard ‘Connect Four’ game have?,57,10,quantity
In which year was drug testing first introduced in the Summer Olympic Games?,76,13,which
"In the board game ‘Operation’, how many Doctor’s points are scored by successfully removing the Funny Bone (humerus)?",117,18,quantity
How many stations are on the Glasgow subway rail system?,56,10,quantity
How old was playwright William Shakespeare when he died?,56,9,age
In which year did colour television begin broadcasting across Australia?,72,10,which
In which year did Italy join the Six Nations (then Five Nations) Rugby Union Championship?,90,15,which
In which year was the Cannes Film Festival founded?,51,9,which
In which year was Ferdinand Marcos first elected as President of the Philippines?,81,13,which
Which Boeing airliner made its maiden flight in September 1981?,63,10,which
What is the highest number on a UK National Lottery ticket?,59,11,what
In which year did the British government decriminalise homosexuality?,69,9,which
How many stations are on the London Underground Victoria Line?,62,10,quantity
How many squares are on a Spear’s Games Snakes and Ladders board?,65,12,quantity
Which year saw the first indoor Wimbledon Men’s Final?,54,9,which
"In mathematics, how many degrees are in a straight angle?",57,10,quantity
"In poetry, an alexandrine is a line of verse comprising how many syllables?",75,13,quantity
How many stations are there on the Paris Metro rail system?,59,11,quantity
In which year did golfer Tiger Woods turn professional?,55,9,which
During which year where same-sex marriages legalised in New York City?,70,11,where
Hexakosioihexekontahexaphobia is the fear of which number?,58,7,which
"In the US television series ‘Cheers’, in which year was the bar established?",76,13,which
In which year did Winston Churchill retire as British Prime Minister?,69,11,which
Which year saw the first commercial Concorde flight?,52,8,which
How many cards are in each suit in a standard deck of cards?,60,13,quantity
"What is the cube root of 1,000?",31,7,what
During which year did the first RHS Chelsea Flower Show take place?,67,12,which
In which year was British monarch Queen Victoria born?,54,9,which
How many points are there on a compass?,39,8,quantity
During which year was the ‘Red Card’ introduced in the game of football in England?,83,15,which
The Chromatic Scale is a musical scale with how many pitches or notes?,70,13,quantity
"During which year did the Channel Tunnel, between England and France, open?",75,12,which
"Not including the centre square, how many Double Word squares are there on a standard Scrabble board?",101,17,quantity
During which year were escalators installed in the Empire State Building in New York?,85,14,which
The International Olympic Committee was founded in which year?,62,9,which
"In April 2013, which three digit free-to-call, non-emergency number was introduced by the NHS to replace the telephone triage and advice services provided by NHS Direct?",169,26,which
During which year did Switzerland become a full member of the United Nations?,77,13,which
How many apostles are there in the painting ‘The Last Supper’ by Leonardo da Vinci?,83,15,quantity
How many gold medals did Britain win in the 2012 Summer Olympic Games?,70,13,quantity
Thailand is divided into how many provinces?,44,7,quantity
How many countries make up Europe?,34,6,quantity
Which year saw the dissolution of the Soviet Union?,51,9,which
How many dresses are in the title of a 2008 film starring Katherine Heigl?,74,14,quantity
During which year did a man last walk on the moon?,50,11,which
What is the square root of 900?,31,7,area
Traditionally a ‘coven’ traditionally refers to a meeting of how many witches?,78,12,quantity
Which year in the 1970’s saw three popes?,41,8,which
In what year did Princess Diana die?,36,7,year
In which year did the world’s first ‘expo’ the Great Exhibition in London take place?,85,15,which
In what year in the sixties did it take place?,46,10,year
"To within one year, in what year of this century was it badly damaged by fire?",78,16,year
In which year did Maggie Thatcher become Prime Minister?,56,9,which
"In British Bingo, which number ball has the nickname ‘Dancing Queen’?",69,11,which
"To within a year either way, when did the R101 crash in France, with the loss of 48 lives?",90,19,when
"How old was Nelson Mandela, when he passed away on the 5th?",59,12,age
In what year did King Edward VIII’s abdication crisis occur?,60,10,year
"WWII, in which year did the Battle of Kursk occur ?",51,11,which
Gorbachev became Soviet Premier in which year ?,47,8,which
"WWII, in which year did the Battle of Stalingrad take place ?",61,12,which
In maths the hexadecimal numeral system has a base of which number?,67,12,which
In which year in the 50s was the first televised Queen’s speech?,64,12,which
"What is next in this series of Fibonacci numbers – 3, 7, 10, 17, 27, 44, 71 ……?",79,18,what
When women were first given the vote in 1918 how old did they have to be to receive it?,87,19,age
How old was River Phoenix when he died?,39,8,age
Darts. What is the lowest score not possible to score with one dart?,68,13,what
"On Nov. 7th 2013, what landmark did A.P. McCoy reach, in terms of number of winners?",84,16,what
"In WW II, in what year did these battles take place: Luzon, Halbe, Trieste and Okinawa?",87,16,year
To which year in the 90s did the Queen refer as her annus horribilis?,69,14,which
What was the age that no-one wanted to reach in Logan’s Run?,60,12,what
The ‘two-minute hate’ is featured in which novel of the twentieth century?,74,12,which
Bingo slang ‘dancing queen’ represents which number?,52,7,which
American films use which fictional area code in telephone numbers?,66,10,area
In which year did Apollo 8 become the first manned mission to orbit the moon?,77,15,which
